경도,위도,최근접 지하철,역과 거리(m),시군구,번지,본번,부번,전월세구분,면적(제곱m),계약월,계약일,보증금(만원),월세(만원),총비용,층,건축년도,도로명,계약기간(개월),계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
127.0369628,37.5845501,고려대역,656,서울특별시 동대문구 제기동 882,882,0,연희펠리시티,월세,56.64,202304,19,3000,170,5040,6,2020,약령중앙로13길 7,12,신규,-,0,0
127.0369628,37.5845501,고려대역,656,서울특별시 동대문구 제기동 882,882,0,연희펠리시티,월세,56.64,202308,25,10000,120,12880,2,2020,약령중앙로13길 7,24,신규,-,0,0
127.0322029,37.5820625,제기동역,495,서울특별시 동대문구 제기동 170-7,170,7,영흥B동아트빌,월세,50.58,202211,8,14000,30,14720,2,2005,약령시로2길 36-8,24,-,-, , 
127.0335819,37.5801619,제기동역,252,서울특별시 동대문구 제기동 274-24,274,24,우림빌라트,월세,68.06,202305,2,4500,85,6540,2,2003,왕산로19마길 35,24,신규,-,0,0
127.0345879,37.5867534,고려대역,436,서울특별시 동대문구 제기동 137-371,137,371,우성주택,전세,57.19,202302,6,19000,0,19000,1,2001,제기로5길 4,-,신규,-,0,0
127.0377109,37.590316,고려대역,125,서울특별시 동대문구 제기동 122-530,122,530,원빌리지,전세,64.61,202302,11,26000,0,26000,4,2004,회기로4길 15-8,-,갱신,-,"22,900",0
127.0377109,37.590316,고려대역,125,서울특별시 동대문구 제기동 122-530,122,530,원빌리지,월세,50.28,202304,29,15000,20,15480,4,2004,회기로4길 15-8,24,신규,-,0,0
127.0329136,37.5792683,제기동역,217,서울특별시 동대문구 제기동 1158-30,1158,30,월드빌(5차),월세,53.96,202301,29,8000,100,10400,5,2014,왕산로19다길 15,24,신규,-,0,0
127.0329136,37.5792683,제기동역,217,서울특별시 동대문구 제기동 1158-30,1158,30,월드빌(5차),전세,53.96,202305,1,25100,0,25100,3,2014,왕산로19다길 15,-,신규,-,0,0
127.0375205,37.5903047,고려대역,109,서울특별시 동대문구 제기동 1147-13,1147,13,일신빌딩,월세,43.15,202211,6,1000,90,2080,1,2004,회기로4길 19-7,12,신규,-,0,0
