역이름,역지역,x,y,호선
사당역,수도권,37.47655322,126.9815495,04호선
남태령역,수도권,37.46424635,126.9890807,04호선
남영역,수도권,37.54055856,126.9713276,01호선
용산역,수도권,37.53006915,126.964815,01호선
노량진역,수도권,37.51357125,126.9408887,01호선
대방역,수도권,37.51334692,126.9264787,01호선
어룡역,수도권,37.74267613,127.0851841,의정부경전철
영등포역,수도권,37.51567647,126.9078579,01호선
신도림역,수도권,37.50890487,126.891308,01호선
이촌역,수도권,37.52244891,126.9733255,경의선
서빙고역,수도권,37.51955012,126.988394,경의선
옥수역,수도권,37.54155186,127.0173802,경의선
응봉역,수도권,37.54994542,127.0344701,경의선
왕십리역,수도권,37.56126116,127.0370785,경의선
청량리역,수도권,37.58071852,127.0484998,경의선
회기역,수도권,37.5897782,127.0580393,01호선
외대앞역,수도권,37.59626243,127.0636834,01호선
신이문역,수도권,37.60177445,127.0673799,01호선
광운대역,수도권,37.62383376,127.0616906,01호선
월계역,수도권,37.63325953,127.0588435,01호선
녹천역,수도권,37.64463345,127.0513741,01호선
창동역,수도권,37.65332049,127.0476405,01호선
선릉역,수도권,37.50449378,127.0489481,분당선
한티역,수도권,37.4962749,127.0529007,분당선
도곡역,수도권,37.49097578,127.0554977,분당선
개포동역,수도권,37.48913227,127.0661026,분당선
대모산입구역,수도권,37.49154287,127.0730703,분당선
왕십리역,수도권,37.56126116,127.0370785,분당선
수서역,수도권,37.48528432,127.1044517,분당선
복정역,수도권,37.47073829,127.1267014,분당선
신길역,수도권,37.51678342,126.9183536,01호선
중랑역,수도권,37.5948318,127.0756623,경의선
상봉역,수도권,37.59669897,127.0857421,경의선
망우역,수도권,37.59928883,127.0923583,경의선
양원역,수도권,36.96378243,129.0912785,경의선
구리역,수도권,37.60325633,127.1433464,경의선
도농역,수도권,37.60876542,127.1611605,경의선
양정역,수도권,37.60401174,127.1946713,경의선
덕소역,수도권,37.58688676,127.2088246,경의선
도심역,수도권,37.57963547,127.2226838,경의선
팔당역,수도권,37.54735586,127.2439526,경의선
운길산역,수도권,37.55464256,127.3102271,경의선
양수역,수도권,37.54595984,127.3291338,경의선
신원역,수도권,37.5255748,127.3730735,경의선
국수역,수도권,37.51617276,127.3992917,경의선
아신역,수도권,37.51390779,127.4432114,경의선
오빈역,수도권,37.50614917,127.4736568,경의선
석계역,수도권,37.61500193,127.0656702,01호선
양평역,수도권,37.52556883,126.8864193,경의선
원덕역,수도권,37.46876732,127.5465586,경의선
용문역,수도권,37.48261007,127.5943715,경의선
지평역,수도권,37.4768771,127.6296665,경의선
서울역,수도권,37.55331631,126.9697383,경의선
신촌역,수도권,37.55519546,126.9369627,경의선
효창공원앞역,수도권,37.53929433,126.9613936,경의선
공덕역,수도권,37.54453447,126.9514331,경의선
서강대역,수도권,37.55213127,126.935494,경의선
홍대입구역,수도권,37.55686353,126.923765,경의선
수색역,수도권,37.58080849,126.8956414,경의선
화전역,수도권,37.60330604,126.8683857,경의선
강매역,수도권,37.61228686,126.8444948,경의선
행신역,수도권,37.61196662,126.8342796,경의선
능곡역,수도권,37.61901009,126.8204224,경의선
곡산역,수도권,37.64575754,126.8017978,경의선
백마역,수도권,37.6580166,126.7946029,경의선
풍산역,수도권,37.67232736,126.7862662,경의선
일산역,수도권,37.6820093,126.7700045,경의선
탄현역,수도권,37.69397448,126.7610556,경의선
야당역,수도권,37.7126074,126.7614495,경의선
운정역,수도권,37.72559277,126.7671475,경의선
금릉역,수도권,37.75132092,126.7653875,경의선
금촌역,수도권,37.76615076,126.7746017,경의선
파주역,수도권,37.81535838,126.7926913,경의선
문산역,수도권,37.85461245,126.7873772,경의선
임진강역,수도권,37.88826421,126.7470603,경의선
광운대역,수도권,37.62383376,127.0616906,경춘선
청량리역,수도권,37.58071852,127.0484998,경춘선
회기역,수도권,37.5897782,127.0580393,경춘선
상봉역,수도권,37.59669897,127.0857421,경춘선
망우역,수도권,37.59928883,127.0923583,경춘선
신내역,수도권,37.61248742,127.1042669,경춘선
갈매역,수도권,37.63406534,127.1147426,경춘선
별내역,수도권,37.64205356,127.1269691,경춘선
퇴계원역,수도권,37.64825136,127.1435235,경춘선
사릉역,수도권,37.65110718,127.1769126,경춘선
금곡역,수도권,37.63734436,127.2075155,경춘선
평내호평역,수도권,37.65320301,127.2444344,경춘선
천마산역,수도권,37.6592205,127.2850491,경춘선
마석역,수도권,37.65277422,127.3116774,경춘선
대성리역,수도권,37.68398291,127.3796926,경춘선
청평역,수도권,37.73550205,127.4266046,경춘선
상천역,수도권,37.77017487,127.4544975,경춘선
가평역,수도권,37.81450566,127.5107348,경춘선
굴봉산역,수도권,37.83205898,127.5577698,경춘선
백양리역,수도권,37.83078819,127.5893159,경춘선
강촌역,수도권,37.80570741,127.6341287,경춘선
디지털미디어시티역,수도권,37.57600202,126.9012631,경의선
김유정역,수도권,37.81843831,127.7143057,경춘선
남춘천역,수도권,37.86403969,127.7238142,경춘선
춘천역,수도권,37.88449835,127.7166939,경춘선
봉명역,수도권,36.80141984,127.1360336,01호선
쌍용역,수도권,36.79372219,127.1213648,01호선
아산역,수도권,36.79460339,127.1043579,01호선
배방역,수도권,36.7776965,127.0527836,01호선
온양온천역,수도권,36.78053767,127.0031815,01호선
신창역,수도권,36.76962428,126.9513886,01호선
선바위역,수도권,37.45174078,127.0022151,04호선
경마공원역,수도권,37.44395578,127.00782,04호선
대공원역,수도권,37.43604493,127.0067344,04호선
과천역,수도권,37.4328735,126.9966103,04호선
정부과천청사역,수도권,37.42649391,126.9898545,04호선
인덕원역,수도권,37.40147975,126.9766663,04호선
평촌역,수도권,37.3942323,126.9637945,04호선
범계역,수도권,37.38977654,126.9507652,04호선
금정역,수도권,37.37245559,126.9434607,04호선
삼동역,수도권,37.40867752,127.203359,경강선
경기광주역,수도권,37.39894023,127.2532736,경강선
초월역,수도권,37.37336832,127.2999052,경강선
곤지암역,수도권,37.35053595,127.3462468,경강선
신둔도예촌역,수도권,37.31560508,127.4052227,경강선
이천역,수도권,37.26422223,127.4421498,경강선
여주역,수도권,37.2828597,127.62852,경강선
구로역,수도권,37.50332802,126.8822911,01호선
가산디지털단지역,수도권,37.48038874,126.8826437,01호선
금천구청역,수도권,37.45617995,126.8935996,01호선
석수역,수도권,37.43508572,126.9023072,01호선
관악역,수도권,37.41955714,126.9084955,01호선
안양역,수도권,37.40185319,126.9226348,01호선
명학역,수도권,37.38445321,126.9355928,01호선
금정역,수도권,37.37245559,126.9434607,01호선
의왕역,수도권,37.32034211,126.9479675,01호선
성균관대역,수도권,37.300329,126.971013,01호선
화서역,수도권,37.28398727,126.989603,01호선
수원역,수도권,37.2657867,127.0000902,01호선
독산역,수도권,37.46596115,126.8894711,01호선
세류역,수도권,37.24387252,127.0137952,01호선
군포역,수도권,37.35418507,126.9485085,01호선
병점역,수도권,37.20674549,127.0331869,01호선
세마역,수도권,37.18711726,127.0434268,01호선
오산대역,수도권,37.16933963,127.0630757,01호선
송탄역,수도권,37.07570545,127.0542715,01호선
서정리역,수도권,37.05654929,127.0528637,01호선
평택역,수도권,36.99096795,127.0852821,01호선
성환역,수도권,36.91612238,127.1268778,01호선
직산역,수도권,36.87092205,127.1438058,01호선
두정역,수도권,36.83359183,127.1490719,01호선
천안역,수도권,36.80899436,127.1468277,01호선
당정역,수도권,37.343679,126.9483577,01호선
서동탄역,수도권,37.19572794,127.0518568,01호선
광명역,수도권,37.41643692,126.8847995,01호선
산본역,수도권,37.3580157,126.9330418,04호선
대야미역,수도권,37.32796512,126.9168885,04호선
반월역,수도권,37.31236734,126.9038199,04호선
상록수역,수도권,37.30285234,126.8665876,04호선
한대앞역,수도권,37.30975702,126.8536706,04호선
중앙역,수도권,37.31600848,126.8384964,04호선
고잔역,수도권,37.31679727,126.8230166,04호선
초지역,수도권,37.32066297,126.8059491,04호선
안산역,수도권,37.32701304,126.7888729,04호선
신길온천역,수도권,37.33762224,126.7670415,04호선
정왕역,수도권,37.35180851,126.7429119,04호선
오이도역,수도권,37.36169184,126.7383855,04호선
수리산역,수도권,37.35055076,126.9256219,04호선
오이도역,수도권,37.36169184,126.7383855,수인선
개봉역,수도권,37.49463448,126.8586934,01호선
오류동역,수도권,37.49438279,126.8448075,01호선
역곡역,수도권,37.48530715,126.8120593,01호선
부천역,수도권,37.48397806,126.7830727,01호선
송내역,수도권,37.4876132,126.7530306,01호선
부평역,수도권,37.48944182,126.7243266,01호선
백운역,수도권,37.48332803,126.7072764,01호선
주안역,수도권,37.46503882,126.6799476,01호선
제물포역,수도권,37.46672224,126.6569483,01호선
동인천역,수도권,37.47540683,126.6326025,01호선
인천역,수도권,37.47614957,126.6168166,01호선
구일역,수도권,37.4962509,126.8696821,01호선
세종대왕릉역,수도권,37.2936228,127.5706415,경강선
오산역,수도권,37.14470276,127.0666121,01호선
진위역,수도권,37.11006822,127.0623515,01호선
동암역,수도권,37.47068493,126.7028717,01호선
소사역,수도권,37.48279309,126.7956262,01호선
부개역,수도권,37.48846983,126.7407256,01호선
간석역,수도권,37.46469636,126.6935134,01호선
