long,lat,cbd_m,gbd_m,ybd_m,north_hangang,district,address,jibun,station,station_m,univ,univ_m,road_m,scale,junse,month,date,guarantee,dong,rent_month,build,new_address,term,contract1,contract2,contract3...26,contract3...27,build_age,station_km,univ_km,cbd_km,gbd_km,ybd_km,scaled_guarantee,predicted,residuals,under_rated
126.9460953,37.5476046,3302.745284,10137.93673,3398.822762,1,nw,서울특별시 마포구 염리동,1**,대흥역,320,서강대학교,559,8m미만,55.57,1,202304,9,20000,염리동,0,2001,숭문4안길,202306~202506,신규,-,0,0,22,0.32,0.559,3.302745284,10.13793673,3.398822762,359.9064243,17614.26595,2385.734055,0
126.9460953,37.5476046,3302.745284,10137.93673,3398.822762,1,nw,서울특별시 마포구 염리동,1**,대흥역,320,서강대학교,559,8m미만,57.86,1,202306,27,19000,염리동,0,1993,숭문4안길,202308~202508,갱신,-,23000,0,30,0.32,0.559,3.302745284,10.13793673,3.398822762,328.3788455,17179.29106,1820.708939,0
126.9462182,37.5462978,3202.168372,10060.02624,3477.150863,1,nw,서울특별시 마포구 염리동,1**,대흥역,363,서강대학교,670,8m미만,60.9,1,202303,22,19500,염리동,0,1989,백범로25길,202305~202505,갱신,-,18900,0,34,0.363,0.67,3.202168372,10.06002624,3.477150863,320.1970443,17359.5964,2140.403604,0
126.9460953,37.5476046,3302.745284,10137.93673,3398.822762,1,nw,서울특별시 마포구 염리동,1**,대흥역,320,서강대학교,559,8m미만,68.62,1,202309,8,30500,염리동,0,1996,숭문4안길,202311~202511,신규,-,0,0,27,0.32,0.559,3.302745284,10.13793673,3.398822762,444.4768289,20033.93378,10466.06622,0
126.9480991,37.5556554,4117.903227,10444.30596,2801.722961,1,nw,서울특별시 마포구 염리동,4**,이대역,195,이화여자대학교,680,12m미만,70.5,1,202308,8,21000,염리동,0,1976,숭문16나길,202308~202508,갱신,-,18000,0,47,0.195,0.68,4.117903227,10.44430596,2.801722961,297.8723404,18167.20817,2832.791834,0
126.9381509,37.5430783,2470.921948,10544.46589,4262.101048,1,nw,서울특별시 마포구 용강동,4**,대흥역,633,서강대학교,910,8m미만,41.43,1,202302,25,20000,용강동,0,1987,대흥로6길,202304~202504,신규,-,0,0,36,0.633,0.91,2.470921948,10.54446589,4.262101048,482.7419744,12357.86113,7642.138868,0
126.9314716,37.549225,2810.902619,11369.02918,4433.867067,1,nw,서울특별시 마포구 창전동,8*,광흥창역,199,홍익대학교,531,25m미만,22.15,1,202311,14,7000,창전동,0,1995,서강로3길,-,-,-,,,28,0.199,0.531,2.810902619,11.36902918,4.433867067,316.027088,9258.87754,-2258.87754,1
126.9296746,37.5473499,2565.099558,11422.78939,4665.490094,1,nw,서울특별시 마포구 창전동,1**,광흥창역,207,홍익대학교,508,8m미만,24,1,202309,13,15000,창전동,0,2014,독막로22길,-,-,-,,,9,0.207,0.508,2.565099558,11.42278939,4.665490094,625,11973.56447,3026.435528,0
126.9296746,37.5473499,2565.099558,11422.78939,4665.490094,1,nw,서울특별시 마포구 창전동,1**,광흥창역,207,홍익대학교,508,8m미만,24,1,202307,29,15000,창전동,0,2014,독막로22길,202309~202509,신규,-,0,0,9,0.207,0.508,2.565099558,11.42278939,4.665490094,625,11973.56447,3026.435528,0
126.9262701,37.5529814,3115.740773,11966.55506,4717.493825,1,nw,서울특별시 마포구 창전동,*,홍대입구역,484,홍익대학교,257,8m미만,28,1,202301,16,12000,창전동,0,1996,와우산로26길,202302~202502,신규,-,0,0,27,0.484,0.257,3.115740773,11.96655506,4.717493825,428.5714286,10480.66122,1519.338776,0
126.9262701,37.5529814,3115.740773,11966.55506,4717.493825,1,nw,서울특별시 마포구 창전동,*,홍대입구역,484,홍익대학교,257,8m미만,33,1,202311,17,10500,창전동,0,2000,와우산로26길,202312~202512,신규,-,0,0,23,0.484,0.257,3.115740773,11.96655506,4.717493825,318.1818182,12121.66103,-1621.661028,1
126.9262701,37.5529814,3115.740773,11966.55506,4717.493825,1,nw,서울특별시 마포구 창전동,*,홍대입구역,484,홍익대학교,257,8m미만,35.38,1,202306,1,15000,창전동,0,2000,와우산로26길,202306~202506,신규,-,0,0,23,0.484,0.257,3.115740773,11.96655506,4.717493825,423.9683437,12672.99698,2327.003021,0
126.9262701,37.5529814,3115.740773,11966.55506,4717.493825,1,nw,서울특별시 마포구 창전동,*,홍대입구역,484,홍익대학교,257,8m미만,35.38,1,202301,28,15000,창전동,0,2000,와우산로26길,202302~202502,신규,-,0,0,23,0.484,0.257,3.115740773,11.96655506,4.717493825,423.9683437,12672.99698,2327.003021,0
126.9314716,37.549225,2810.902619,11369.02918,4433.867067,1,nw,서울특별시 마포구 창전동,8*,광흥창역,199,홍익대학교,531,25m미만,40.7,1,202307,7,12000,창전동,0,1995,서강로3길,202308~202508,신규,-,0,0,28,0.199,0.531,2.810902619,11.36902918,4.433867067,294.8402948,13556.05481,-1556.054805,1
126.9313308,37.5488145,2763.734762,11360.22149,4463.98025,1,nw,서울특별시 마포구 창전동,3*,광흥창역,160,홍익대학교,535,8m미만,43.14,1,202306,10,17000,창전동,0,1993,서강로1길,-,-,-,,,30,0.16,0.535,2.763734762,11.36022149,4.46398025,394.0658322,13915.32065,3084.679351,0
126.9329639,37.5529933,3249.409186,11443.12524,4155.653807,1,nw,서울특별시 마포구 창전동,*,서강대역,243,홍익대학교,685,25m미만,44.63,1,202301,6,20334,창전동,0,2016,서강로9길,202301~202501,신규,-,0,0,7,0.243,0.685,3.249409186,11.44312524,4.155653807,455.6128165,16957.88473,3376.115268,0
126.9330377,37.5531391,3266.816166,11445.07189,4144.107985,1,nw,서울특별시 마포구 창전동,*,서강대역,244,홍익대학교,698,8m미만,45.1,1,202303,12,19000,창전동,0,1993,서강로11길,202304~202504,신규,-,0,0,30,0.244,0.698,3.266816166,11.44507189,4.144107985,421.286031,14289.90542,4710.094579,0
126.9302777,37.5544796,3344.067349,11730.37167,4330.39154,1,nw,서울특별시 마포구 창전동,*,서강대역,530,홍익대학교,579,8m미만,62,1,202304,17,28000,창전동,0,1997,와우산로30길,202304~202504,신규,-,0,0,26,0.53,0.579,3.344067349,11.73037167,4.33039154,451.6129032,18429.69482,9570.30518,0
126.9262701,37.5529814,3115.740773,11966.55506,4717.493825,1,nw,서울특별시 마포구 창전동,*,홍대입구역,484,홍익대학교,257,8m미만,68.34,1,202301,7,20000,창전동,0,1996,와우산로26길,202301~202501,신규,-,0,0,27,0.484,0.257,3.115740773,11.96655506,4.717493825,292.6543752,19825.57394,174.4260591,0
126.9111989,37.5455495,2441.161817,12849.7403,6246.060971,1,nw,서울특별시 마포구 합정동,3**,합정역,562,홍익대학교,1408,8m미만,32.78,1,202310,30,17500,합정동,0,1993,토정로,202311~202511,신규,-,0,0,30,0.562,1.408,2.441161817,12.8497403,6.246060971,533.862111,11133.3882,6366.611802,0
